City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
195,sao joao da barra,-21.6403,-41.0511,27.09,81,100,5.8,BR,2025-03-24
196,pacasmayo,-7.4006,-79.5714,24.7,68,28,5.85,PE,2025-03-24
197,cervantes,-39.05,-67.3833,19.69,26,0,2.49,AR,2025-03-24
198,nirmal,19.1,78.35,28.85,38,0,2.3,IN,2025-03-24
199,kiffa,16.6166,-11.4045,34.08,11,19,3.78,MR,2025-03-24
200,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,100,40,1.0,RU,2025-03-24
201,tura,25.5198,90.2201,19.37,48,0,1.79,IN,2025-03-24
202,walvis bay,-22.9575,14.5053,20.53,77,91,5.66,NA,2025-03-24
203,island harbour,50.724,-1.2758,8.47,85,100,0.45,GB,2025-03-24
204,tralee,52.2704,-9.7026,9.19,83,100,2.0,IE,2025-03-24
205,luderitz,-26.6481,15.1594,19.01,75,1,6.7,NA,2025-03-24
206,challapata,-18.9,-66.7667,16.78,34,68,3.29,BO,2025-03-24
207,raja,8.4596,25.678,27.19,14,62,1.86,SS,2025-03-24
208,port hedland,-20.3167,118.5667,28.34,89,100,2.57,AU,2025-03-24
209,leninskoye,41.7589,69.3864,8.48,93,100,3.71,KZ,2025-03-24
210,sodra sandby,56.5667,16.6167,3.57,90,19,4.51,SE,2025-03-24
211,kapa'a,22.0752,-159.319,24.71,77,0,2.57,US,2025-03-24
212,sao gabriel da cachoeira,-0.1303,-67.0892,29.01,69,40,2.57,BR,2025-03-24
213,port douglas,-16.4833,145.4667,25.82,88,100,1.48,AU,2025-03-24
214,matiari,25.5961,68.4467,26.02,26,0,6.26,PK,2025-03-24
215,callao,-12.0667,-77.15,25.16,69,0,5.14,PE,2025-03-24
216,kyabe,9.4515,18.9449,31.64,11,93,1.08,TD,2025-03-24
217,jayapura,-2.5333,140.7,21.59,92,100,1.9,ID,2025-03-24
218,banda aceh,5.5577,95.3222,26.01,82,96,2.91,ID,2025-03-24
219,haiku-pauwela,20.9219,-156.3051,25.58,71,20,2.68,US,2025-03-24
220,roven'ky,48.0833,39.3776,5.33,55,100,5.39,UA,2025-03-24
221,port lincoln,-34.7333,135.8667,17.64,83,0,6.66,AU,2025-03-24
222,gebeit,21.0667,36.3167,20.69,29,0,3.44,SD,2025-03-24
223,ta`u,-14.2336,-169.5144,28.17,80,35,8.6,AS,2025-03-24
224,recani,31.2846,-4.2688,19.23,20,100,7.16,MA,2025-03-24
225,uthal,25.8072,66.6219,23.83,57,0,4.33,PK,2025-03-24
226,tefenni,37.3097,29.7754,9.49,56,72,1.04,TR,2025-03-24
227,cabedelo,-6.9811,-34.8339,29.83,68,6,3.31,BR,2025-03-24
228,kangding,30.0513,101.9603,2.95,66,0,4.42,CN,2025-03-24
229,labytnangi,66.6572,66.4183,-15.07,96,63,2.08,RU,2025-03-24
230,antofagasta,-23.65,-70.4,20.24,79,21,3.3,CL,2025-03-24
231,kruisfontein,-34.0033,24.7314,19.94,88,100,4.03,ZA,2025-03-24
232,kourou,5.1552,-52.6478,26.59,78,74,4.6,GF,2025-03-24
233,malyye derbety,47.9547,44.6808,4.59,35,7,3.09,RU,2025-03-24
234,floro,61.5996,5.0328,6.79,93,75,11.32,NO,2025-03-24
235,montevideo,-34.8335,-56.1674,23.73,64,75,6.17,UY,2025-03-24
236,vilyuchinsk,52.9306,158.4028,-4.85,87,68,3.84,RU,2025-03-24
237,itoman,26.1247,127.6694,19.17,85,40,4.63,JP,2025-03-24
238,kharp,66.8014,65.8081,-8.55,96,91,2.23,RU,2025-03-24
239,chiredzi,-21.05,31.6667,22.58,60,58,1.52,ZW,2025-03-24
240,ilulissat,69.2167,-51.1,-6.99,68,75,1.54,GL,2025-03-24
241,burutu,5.3509,5.5076,27.36,80,54,2.65,NG,2025-03-24
242,montenegro,42.5,19.3,12.4,97,100,2.57,ME,2025-03-24
243,al jawf,29.5,38.75,16.26,22,0,1.4,SA,2025-03-24
244,taoudenni,22.6783,-3.9836,29.13,8,2,4.3,ML,2025-03-24
245,las heras,-46.5419,-68.9359,25.03,15,78,0.89,AR,2025-03-24
246,sidhi,24.4167,81.8833,23.7,18,0,0.26,IN,2025-03-24
247,vadso,70.0744,29.7487,3.76,48,0,5.14,NO,2025-03-24
248,al mayadin,35.0209,40.4535,16.64,30,0,2.17,SY,2025-03-24
249,lebu,-37.6167,-73.65,16.56,56,0,3.22,CL,2025-03-24
250,nar'yan-mar,67.6713,53.087,-2.42,96,100,4.81,RU,2025-03-24
